concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
air_ct_447,A beautifully polished show! A rare gem these days...,X,,,,,
air_ct_329,THIRD STRING ,X,,x,,,
air_ct_414,and the way they are interpreting it live OOOF,X,,x,,,
moby_ct_492,🇦🇷:red_heart:,X,,,,,
air_ct_497,:hands-yellow-heart-red: :globe_with_meridians:,X,,,,,
air_ct_208,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_320,:glowing_star: :glowing_star: :glowing_star:,X,,,,,
air_ct_554,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
sting_ct_85,"I watch Kaamelott today, Sting is perfect",X,,,X,,
moby_ct_534,:grinning_squinting_face::upside_down_face::face_savoring_food:,X,,,,,
air_ct_359,@The Shooting Star :face-red-heart-shape:,X,,,,,
moby_ct_154,cello makes everything more lovely,X,,x,,,
nf_ct_43,many thanks for that concert of genius Nils Frahm,X,,,,,
air_ct_347,she has Alien eyes,X,,x,,,
moby_ct_685,:hand-pink-waving:,X,,,,X,
air_ct_524,:face_with_tears_of_joy:,X,,,,,X
nf_ct_141,:exploding_head:,X,,,,,
moby_ct_468,:clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_61,And.. my super favorite! For Her Love! ,X,,,,,
moby_ct_376,:red_heart:,X,,,,,
air_ct_424,:flashlight: :grinning_face_with_sweat:,X,,,,,X
air_ct_540,do it again please,X,,,,,
air_ct_405,Soaking in this nostalgia ,X,,,,,
air_ct_137,I love this album,X,,x,X,,
moby_ct_490,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
air_ct_346,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,X,,,,,
moby_ct_360,this is insane,X,,,,,
air_ct_113,Great live version of All I Need ,X,,x,,,
nf_ct_105,Re :smiling_face_with_smiling_eyes:,X,,,,,
air_ct_419,:high_voltage:,X,,,,,
moby_ct_498,Wonderful voice :heart_suit:,X,,x,,,
sting_ct_20,love it :folded_hands::red_heart:,X,,,,X,
moby_ct_620,:heart_with_arrow::heart_with_arrow::heart_with_arrow:,X,,,,,
moby_ct_383,"I love her voice, I miss this kind of voice in today's music. Everything has this little chicken falsettos ",X,,x,,,
moby_ct_381,coolest version of this song ever!,X,,x,,,
air_ct_446,this is so good:cat-orange-whistling:,X,,,,,
air_ct_489,:winking_face_with_tongue:,X,,,,,
moby_ct_266,:red_heart: ,X,,,,,
air_ct_386,:shooting_star:,X,,,,,
air_ct_495,:full_moon_face::rocket:,X,,,,,
nf_ct_124,This is my favourite piece <3,X,,,,,
air_ct_297,I'm happy for you @Headsknow ,X,,,,,
moby_ct_175,:raising_hands::raising_hands::raising_hands:,X,,,,X,
air_ct_131,Noce!,X,,,,,
moby_ct_484,yezzzz :red_heart::musical_notes::red_heart::musical_notes::red_heart::musical_notes::red_heart:,X,,,,,
moby_ct_424,:smiling_face:,X,,,,,
air_ct_351,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,X,,,,,
air_ct_171,@Cyrana My favourite sunday morning record,X,,x,,,
air_ct_275,:smiling_face_with_smiling_eyes:,X,,,,,
air_ct_109,love is in the Air,X,,,,,
sting_ct_38,:red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
moby_ct_455,:guitar::guitar::guitar::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-wide-eyes:,X,,,,,
moby_ct_606,:raised_fist::raised_fist::raised_fist::raised_fist::raised_fist:,X,,,,X,
air_ct_108,Thanks so much for this ARTE!:sparkling_heart:,X,,,,,
moby_ct_260,:open_hands::clapping_hands::raising_hands::open_hands::clapping_hands::raising_hands:,X,,,,X,
moby_ct_239,Lady Blackbird :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,x,,,
sting_ct_8,Wow..Sting:blue_heart::blue_heart::blue_heart:,X,,,,,
moby_ct_561,:fire::fire::fire::fire::fire:,X,,,,,
moby_ct_76,I love Moby and i love the guys of @ARTE Concert for their great performances - THANK YOU - merci! :yougotthis:,X,,,,,
air_ct_465,:red_heart: to be lost,X,,,,,
air_ct_283,"I was there the day before, on 30/5. A dream come true to see this live :sparkles::red_heart:",X,,,X,,
moby_ct_485,"Thank you, thank you, THANK YOU MOBY! Thank you, thank you, THANK YOU @ARTE Concert !",X,,,,,
nf_ct_53,:fire:,X,,,,,
moby_ct_558,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
nf_ct_20,"OMG, love him! Much love from Lyon!",X,,,,,
moby_ct_515,👏🏼👏🏼,X,,,,X,
moby_ct_430,I became vegan thanks to Moby. He is a great inspiration in so many areas.,X,,,X,,
moby_ct_125,The staging of this is grandiose,X,,,,,
air_ct_244,Visuals are absolutely stunning :star_struck: ,X,,,,,
nf_ct_34,So deep and rich and emotional. What a great musician!,X,,x,,,
moby_ct_15,well he be playing lots of stuff :),X,,x,,,
air_ct_487,quality ...rare these days,X,,,,,
air_ct_165,:place_of_worship:,X,,,,,
moby_ct_678,:black_heart:,X,,,,,
air_ct_440,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,X,,,,X,
moby_ct_138,Ok merci @ARTE Concert. :red_heart:,X,,,,,
air_ct_500,:face-red-heart-shape:,X,,,,,
moby_ct_523,👏🏼👏🏼👏🏼:red_heart:,X,,,,X,
nf_ct_195,:red_heart:👏🏻👏🏻👏🏻 bravoooo,X,,,,X,
nf_ct_25,"Finally new live music from Nils, recorded with the technical excellence of the Arte team.Thank you so much! :)",X,,x,,,
moby_ct_434,wow he has a good voice for country!!,X,,,,,
moby_ct_209,Lovely,X,,,,,
air_ct_407,Please come to Japan:heart_exclamation:,X,,,,,
moby_ct_274,feeeelzz:hands-yellow-heart-red::hands-yellow-heart-red::face-turquoise-music-note::person-pink-swaying-hair::pillow-turquoise-hot-chocolate::fish-orange-wide-eyes:,X,,,,,
air_ct_328,:eyes-pink-heart-shape:,X,,,,,
air_ct_215,:popcorn-yellow-striped-smile:,X,,,,,
moby_ct_646,:collision::collision::collision::raised_fist::raised_fist:,X,,,,,
air_ct_306,Venus Cherry Blossom Girl Run Highschool Lover Surfing on a Rocket Don't Be Light ...,X,,x,,,
moby_ct_375,Choklate :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_318,:red_heart: ,X,,,,,
air_ct_63,Sexy song,X,,x,,,
moby_ct_589,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
air_ct_21,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_399,:clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
moby_ct_366,extreme ways is so powerful track...,X,,x,,,
air_ct_200,"My TV harmaKardon is satured, but it's so nice",X,,,,,
air_ct_350,:cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom::cherry_blossom:,X,,,,,
air_ct_168,Talisman:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_80,anyone have a tissue?,X,,,,,
air_ct_255,26 years and still so vanguard Masters,X,,,,,
moby_ct_52,It's great that people are here from everywhere-Global Arte Community in Musica,X,,,,,
nf_ct_192,which everyone but one individual here seems to be good vibes ;),X,,,,,
sting_ct_41,:heart_decoration:SOS:heart_decoration:,X,,,,,
moby_ct_85,They look like three angels 👏🏻👏🏻👏🏻,X,,,,X,
moby_ct_640,La wea hermosaaaa:heart_on_fire:,X,,,,,
nf_ct_100,Lovely concert . Listening in my garden with the sound of birds as backing vocals :winking_face:,X,,,,,
moby_ct_644,GO VEGAN :red_heart: ARGENTINA MOBY ,X,,,X,,
air_ct_160,i'm in tears !! so amazing <3,X,,,,,X
air_ct_92,sexy air,X,,,,,
air_ct_311,:blue_heart::white_heart::heart_suit:,X,,,,,
air_ct_293,:glowing_star:,X,,,,,
moby_ct_374,OMG OMG :red_heart: :red_heart: :red_heart: TUNE!,X,,,,,
moby_ct_179,:red_heart:Welcome Dear Moby Starseed!:two_hearts:,X,,,,,
moby_ct_512,"Fantastic show. Thanks for broadcasting and thanks to the chat here, too. Have a good one yall",X,,,,,
air_ct_353,:eyes-pink-heart-shape:,X,,,,,
nf_ct_199,"Awesome, thanks arte!",X,,,,,
air_ct_324,BUT IF U NEED HELP,X,,x,,,
sting_ct_14,:heart_suit::heart_suit::heart_suit:,X,,,,,
moby_ct_8,agree lol ,X,,,,,
nf_ct_30,Bonsoir from Austria - enjyoing this very much,X,,,,,
air_ct_546,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
air_ct_42,:heart_suit:,X,,,,,
air_ct_539,👏🏻 👏🏻 👏🏻,X,,,,X,
air_ct_277,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_142,i love this guays,X,,,,,
air_ct_268,This is so cosmic. As if our planet is emitting this music into the galaxy. Incredible :red_heart:,X,,x,,,
sting_ct_21,:thumbs_up::heart_suit:,X,,,,X,
air_ct_368,:bomb:,X,,,,,
nf_ct_146,:heart_exclamation:,X,,,,,
moby_ct_503,Perfection,X,,,,,
moby_ct_10,Thanks for the surprise. Very cool!!,X,,,,,
air_ct_127,excellent version of All I Need,X,,x,,,
moby_ct_451,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_293,:shooting_star::shooting_star::raising_hands::raising_hands::shooting_star::shooting_star:,X,,,,,
moby_ct_99,:face-blue-smiling::hand-pink-waving::face-red-heart-shape::trophy-yellow-smiling::eyes-pink-heart-shape:,X,,,,X,
moby_ct_501,:face-blue-smiling::face-blue-smiling::face-blue-smiling::smiling_face_with_hearts::dog::cat::fox:,X,,,,,
moby_ct_84,:face-red-heart-shape:,X,,,,,
air_ct_261,@ARTE Concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_312,so floaty lovely,X,,x,,,
moby_ct_314,Thanks for streaming this great concert!!,X,,,,,
moby_ct_489,:eyes-pink-heart-shape:,X,,,,,
moby_ct_586,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_528,@ARTE Concert Why can't be forever? Didn't know videos had a life span,X,,,,,
nf_ct_23,:),X,,,,,
nf_ct_12,i never thought i'd get to see the day when i could watch nils frahm live; this is *fantastic*,X,,,,,
moby_ct_372,:musical_notes::location-yellow-teal-bars:thanks for all @ARTE Concert✓ always Delivering quality recorded productions from every genre ..YT:trophy-yellow-smiling::finger-red-number-one:👏🏼👏🏼,X,,,,X,
nf_ct_18,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
air_ct_309,great selection of other songs,X,,x,,,
moby_ct_662,:eyes-purple-crying:,X,,,,,X
air_ct_459,:partying_face::pleading_face::winking_face_with_tongue:,X,,,,,
moby_ct_386,"My cat is even watching, totally fascinated now",X,,,,,
moby_ct_533,ohhh yes :raising_hands::raising_hands::speaker_high_volume::speaker_high_volume::fire::fire::fire:,X,,,,X,
moby_ct_581,:speaker_high_volume::face-red-heart-shape::face-blue-heart-eyes:some dunt thanks :winking_face:👍🏼,X,,,,X,
moby_ct_254,so beautiful,X,,,,,
moby_ct_37,I was there. What a night! :party_popper: Soooo good!!! :star_struck::musical_notes::collision::musical_notes::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_421,hello @T :hugging_face::musical_notes:,X,,,,,
moby_ct_161,":hugging_face:👊🏼Tamás Borbély., good evening @ARTE :musical_notes: with the fun sounds of Moby :smiling_face:",X,,,,,
air_ct_429,:fire: :fire: :fire:,X,,,,,
air_ct_44,"""La Femme d'argent"" forgot how good starting track this was",X,,x,,,
moby_ct_598,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_18,Great 🙌🏻🙌🏻energy :smiling_face_with_hearts:,X,,,,X,
moby_ct_186,We are all made of stars :star: :blue_heart:,X,,x,,,
sting_ct_9,:raising_hands:,X,,,,X,
moby_ct_272,:smiling_face_with_heart_eyes::star_struck::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_208, :raising_hands::sparkles::raising_hands::sparkles::raising_hands:,X,,,,X,
air_ct_345,:cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom:,X,,,,,
sting_ct_59,:star_struck::thumbs_up::musical_notes:,X,,,,X,
nf_ct_28,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:,X,,,,,
sting_ct_18,indonesia now 2 AM wacth thiss love it,X,,,,,
moby_ct_493,"Well yeah, that's so damn good",X,,,,,
moby_ct_256,:musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:,X,,,,,
air_ct_269,This is pure bliss,X,,,,,
moby_ct_625,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_623,:bomb::bomb::bomb::bomb::bomb:,X,,,,,
moby_ct_667,<3,X,,,,,
air_ct_337,super track,X,,x,,,
sting_ct_52,@Matthias Joss Thank you :hugging_face:,X,,,,,
air_ct_415,:eyes-pink-heart-shape:,X,,,,,
air_ct_214,:smiling_face_with_hearts:,X,,,,,
moby_ct_276,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: ,X,,,,X,
air_ct_188,Amazing! :black_heart::black_heart::black_heart:,X,,,,,
air_ct_93,love this one too,X,,x,,,
moby_ct_583,:face-red-heart-shape:..............,X,,,,,
moby_ct_470,"Thank you for tonight, Arte Concert",X,,,,,
moby_ct_516,👏🏼👏🏼,X,,,,X,
moby_ct_68,Nadia :smiling_face_with_hearts::red_heart::red_heart::red_heart::red_heart:,X,,,,,
moby_ct_497,:smiling_face:,X,,,,,
moby_ct_542,Nadia :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
air_ct_257,:thumbs_up::thumbs_up::thumbs_up:,X,,,,X,
air_ct_348,is she my aNGEL,X,,x,,,
nf_ct_205,WIll keep coming back to this,X,,,,,
moby_ct_309,that cello sound,X,,x,,,
moby_ct_267,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: ,X,,,,X,
air_ct_336,:two_hearts:,X,,,,,
moby_ct_391,that funk is so on point,X,,x,,,
air_ct_431,the drummer is perfect for them,X,,x,,,
air_ct_385,those Solina strings:heart_with_ribbon:,X,,,,,
moby_ct_359,Love this part,X,,x,,,
moby_ct_324,:red_heart:,X,,,,,
air_ct_227,I was a AIR fan since the beginning and now my daughter love AIR too.,X,,,X,,
moby_ct_395,this must be on vinyl!,X,,x,,,
sting_ct_86,"leans back in Armchair, and enjoyes ;)",X,,,,X,
air_ct_121,:red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_95,!!!!!!!!!!,X,,,,,
moby_ct_181,This version is amazing ,X,,x,,,
air_ct_330,:purple_heart::purple_heart::purple_heart:,X,,,,,
moby_ct_219,"This show, bring back so much good memories",X,,,X,,
moby_ct_111,:red_heart: ,X,,,,,
moby_ct_330,:smiling_face_with_hearts::smiling_face_with_heart_eyes::smiling_face_with_hearts:,X,,,,,
moby_ct_591,It was amazing thank you ,X,,,,,
air_ct_114,"What a legendary album ! So happy to hear it again, and again, and again.... and now, too !",X,,x,X,,
air_ct_25,glad to see this here as missed out seeing them in person,X,,,,,
air_ct_58,:fire:,X,,,,,
air_ct_467,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_562,:firecracker::firecracker::firecracker::firecracker:,X,,,,,
air_ct_388,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
nf_ct_191,Love this so much. What a great concert. Thanx for this!,X,,,,,
moby_ct_46,"I guess I am kinda traditional, I love ""Praise You"" best ",X,,x,,,
sting_ct_80,The Dock Of The Bay...:bouquet::bouquet::bouquet: ,X,,x,,,
moby_ct_313,"This is great, reminds me of Mogwai , some post-rock vibes",X,,x,X,,
air_ct_378,:fireworks: :fireworks: :fireworks:,X,,,,,
air_ct_421,🙌🏻,X,,,,X,
air_ct_111,very mellow track :),X,,x,,,
moby_ct_283,:raising_hands::sparkles::raising_hands::sparkles::raising_hands:,X,,,,X,
air_ct_408,:fire:,X,,,,,
sting_ct_48,Rushing water! Sting rocks!,X,,,,,
moby_ct_552,:bomb::bomb::bomb::bomb::collision::collision::collision:,X,,,,,
air_ct_264,Amazing :smiling_face_with_heart_eyes:,X,,,,,
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_394,the first song I played in the guitar was Moby's song :red_heart: thanks from Brasil,X,,x,,,
moby_ct_508,👏🏻👏🏻👏🏻👏🏻,X,,,,X,
air_ct_195,Just opened and this awesome concert appeard! Thank you algorithm and ARTE concert! :red_heart::red_heart:,X,,,,,
moby_ct_141,:beaming_face_with_smiling_eyes:,X,,,,,
sting_ct_72,Really beautiful place! The Bridge!! :blue_heart::blue_heart::blue_heart::blue_heart:,X,,,,,
moby_ct_426,niceee :red_heart:,X,,,,,
air_ct_112,such great energy and hope this album expresses on each track - masterpiece album,X,,x,X,,
sting_ct_25,"Sting music and the place, :bouquet::bouquet:Pantheon .. beautifully cool! Magically fantastic! :blue_heart::blue_heart::blue_heart:",X,,x,,,
nf_ct_173,"Sublime music, heavenly!",X,,x,,,
sting_ct_75,:clapping_hands:,X,,,,,
moby_ct_122,fantastic reworking :musical_notes:👏🏼,X,,x,,X,
air_ct_296,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,X,,,,X,
moby_ct_551,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
moby_ct_81,"@ARTE Concert Choklate, Nadia Christine Duggin, Julie Mintz, Lady Blackbird are THE BEST Vovalists on this fcking Planet!",X,,,,,
moby_ct_325,<3,X,,,,,
nf_ct_87,WOOWWWWW SO happy that I randomly catched this livestreammmm amazing ,X,,,,,
moby_ct_225,soy division is nice ^^,X,,,,,
nf_ct_41,feeling more and more relaxed after a hard day,X,,,,,
sting_ct_66,so niiiice :red_heart:,X,,,,,
air_ct_107,best of the best,X,,,,,
nf_ct_204,👏🏼🙏🏼 thanks again ARTE Concert✓for a most magnificent concert 👏🏼👏🏼,X,,,,X,
air_ct_430,who are playing the background synths?,X,,x,,,
air_ct_463,such a beautiful track Kyoto,X,,x,,,
air_ct_174,:clapping_hands:,X,,,,X,
air_ct_169,"I know this album by heart. My dad used to listen to it so often, I have really precious memories of my childhood and family with this as a soundtrack :red_heart:",X,,x,X,,
moby_ct_545,:bomb::bomb::bomb::bomb::bomb::bomb:,X,,,,,
moby_ct_150,you happy now :smiling_face::musical_notes:,X,,,,,
moby_ct_203,yoooo @Luca M. @Cosmic Seeds:face-purple-wide-eyes::hand-pink-waving:,X,,,,,
air_ct_485,👏🏻👏🏻,X,,,,X,
moby_ct_210,@T :waving_hand::slightly_smiling_face:hey,X,,,,,
moby_ct_462,moby the legend,X,,,,,
moby_ct_658,:clapping_hands::clapping_hands::clapping_hands:,X,,,,,
air_ct_206,:purple_heart::purple_heart::purple_heart::blue_heart::purple_heart::purple_heart::purple_heart:,X,,,,,
air_ct_547,:grinning_cat_with_smiling_eyes:,X,,,,,
sting_ct_55,Incroyble Sting !,X,,,,,
moby_ct_216,:speaker_high_volume::speaker_high_volume::speaker_high_volume:,X,,,,,
moby_ct_486,have chills,X,,,,,X
air_ct_27,"ducking brilliant, that bass!!",X,,x,,,
moby_ct_235,I love how he just sounds like somebody's nerdy dad here.,X,,,,,
moby_ct_393,@ARTE Concert thank you. :face-red-heart-shape:,X,,,,,
air_ct_511,Riding on magnetic waves,X,,,,,
air_ct_219,but when i wake up. black friday let me PAY ,X,,x,,,
air_ct_38,I truly needed this ,X,,,,,
air_ct_483,A thousand thanks ARTE!:star_struck::thumbs_up::smiling_cat_with_heart_eyes:,X,,,,X,
moby_ct_584,👏🏻👏🏻🙌🏻🙌🏻,X,,,,X,
sting_ct_70,Sexy cool and beautiful :blue_heart::bouquet:,X,,,,,
moby_ct_539,:fire::fire::fire::fire::fire:,X,,,,,
moby_ct_59,the Best day of my year,X,,,,,
moby_ct_522,👏🏼👏🏼:red_heart:,X,,,,X,
air_ct_327,fully heart language this album communicates,X,,x,,,
air_ct_349,cherrie and cheers all,X,,,,,
air_ct_401,chill & nice perfect to fk,X,,,,,
moby_ct_496,:thumbs_up::thumbs_up::thumbs_up::thumbs_up::red_heart::musical_notes::red_heart::musical_notes::red_heart:,X,,,,X,
moby_ct_369,:collision::raising_hands::collision::raising_hands: :raising_hands::sparkles::raising_hands::sparkles:,X,,,,X,
moby_ct_401,Moby's DJ sets are some of the best you will ever see if you get the chance. He absolutely rips really driving electro and techno,X,,x,X,,
air_ct_451,:sparkling_heart:,X,,,,,
moby_ct_75,so lovely I will cry,X,,,,X,
air_ct_140,Goods albums,X,,x,X,,
moby_ct_665,:raising_hands::red_heart:,X,,,,X,
moby_ct_261,Alright. Let them tears flow,X,,,,,X
nf_ct_116,@ARTE Concert Thank you for this wonderful present! :red_heart::red_heart::red_heart:,X,,,,,
moby_ct_271,chills and thrills,X,,,,,X
moby_ct_280,:water_wave::water_wave::musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:,X,,,,,
moby_ct_215,@T :raising_hands::collision::raising_hands::collision::raising_hands:,X,,,,X,
air_ct_39,definitely goosebumps from the start,X,,,,,X
air_ct_251,I was in the RAH that night..totally spellbound by it :),X,,,X,,
air_ct_49,all :smiling_face_with_heart_eyes:love!!!! from MX !!!!!,X,,,,,
moby_ct_526,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
sting_ct_84,:heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration:,X,,,,,
moby_ct_432,",____:locomotive::railway_car::railway_car::railway_car::railway_car:,___ :peach::dashing_away:ring of fire",X,,,,,
moby_ct_549,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face_savoring_food::zany_face:,X,,,,,
air_ct_270,this one OOOOF,X,,,,,
air_ct_50,Awesome! How do we download it? ,X,,,,,
air_ct_425,:heart_with_arrow:,X,,,,,
nf_ct_52,love this reflection of sounds!,X,,x,,,
moby_ct_279,Great vocalists great musicians - Moby is gracefully,X,,x,,,
moby_ct_441,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-blue-smiling::face-blue-smiling::face-blue-smiling:,X,,,,,
air_ct_60,carlo showalter :red_heart:,X,,,,,
moby_ct_415,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-blue-smiling:,X,,,,,
moby_ct_651,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_269,some much soul,X,,,,,
air_ct_450,fresh AIR as in back 1998 crazy1,X,,,X,,
nf_ct_21,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
air_ct_143,Very cool,X,,,,,
moby_ct_611,:yellow_heart:,X,,,,,
air_ct_202,:smiling_face_with_hearts::face_holding_back_tears::moon_viewing_ceremony::monkey:,X,,,,,
moby_ct_566,"this is just awesome, this is art e",X,,,,,
moby_ct_550,SUBLIME:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,X,,,,,
moby_ct_565,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_487,i do :red_heart:,X,,,,,
moby_ct_519,Standing ovations 👏🏻👏🏻👏🏻,X,,,,X,
moby_ct_505,:glowing_star::man_dancing::glowing_star::man_dancing::glowing_star:,X,,,,X,
nf_ct_57,Wow@blue_scape:smiling_face_with_heart_eyes:,X,,,,,
air_ct_310,great its on,X,,,,,
moby_ct_594,:smiling_face_with_hearts:,X,,,,,
air_ct_61,Sexy Boy!,X,,x,,,
moby_ct_573,I am feeling SOOOOO real!,X,,,,,
moby_ct_514,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
air_ct_362,THIS MUSIC IS LIKE A COCAINE HEAD AS BIG AS DANA WHITES HEAD,X,,x,,,
moby_ct_525,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_43,"STING, I consider your songs the best in the world",X,,x,,,
moby_ct_368,:clapping_hands::sign_of_the_horns::raising_hands:,X,,,,X,
moby_ct_88,Argentina :red_heart:,X,,,,,
moby_ct_556,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_202,:speaker_high_volume::musical_note::musical_notes::sparkles::sparkles::dashing_away:,X,,,,,
air_ct_189,I love you AIR :black_heart::black_heart::black_heart:,X,,,,,
moby_ct_379,:blue_heart::red_heart::orange_heart::yellow_heart::green_heart:,X,,,,,
moby_ct_648,:bomb::bomb::bomb::bomb:,X,,,,,
air_ct_438,So good. Wave on. ,X,,,,,
air_ct_453,:face_blowing_a_kiss::smiling_face_with_heart_eyes::face_blowing_a_kiss::partying_face::disguised_face::smiling_face_with_hearts::nerd_face::smiling_face_with_hearts::smiling_face_with_sunglasses::smiling_face_with_heart_eyes:,X,,,,X,
air_ct_475,:eyes-pink-heart-shape:,X,,,,,
moby_ct_126,this woke version actually sounds good,X,,x,,,
air_ct_66,:red_heart:,X,,,,,
moby_ct_411,@sunshine 70 hallo :waving_hand::slightly_smiling_face:,X,,,,X,
air_ct_492,MERCI AIR MERCI ARTE MERCI YOUTUBE:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,X,,,,,
moby_ct_226,:partying_face::partying_face::partying_face::partying_face:,X,,,,,
moby_ct_222,:musical_notes::musical_note::speaker_high_volume::clapping_hands::open_hands:,X,,,,X,
sting_ct_42,Hope the world will listen about this SOS ... ,X,,x,,,
moby_ct_402,:red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_286,I'm traveling far far away right now...:shooting_star:,X,,,,,
air_ct_231,:anatomical_heart::anatomical_heart::anatomical_heart:,X,,,,,
moby_ct_457,definitely hints of Ian Curtis and Joy Division in this one :musical_notes::goodvibes:,X,,x,X,,
moby_ct_535,:fire::fire::fire::fire::fire:,X,,,,,
air_ct_383,bass:red_heart::flying_saucer:,X,,,,,
air_ct_302,MUAY THAI AND MUY LOCO,X,,x,,,
moby_ct_517,<3,X,,,,,
air_ct_248,:blue_heart::blue_heart::blue_heart:,X,,,,,
air_ct_213,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: wow i loved,X,,,,,
