comment_id,username,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react
ct_90,Julian Gomez,What a nice psychedelic rock sound! ,x,,x,,
ct_91,Валентина Пузанова,:red_heart:,x,,,,
ct_93,MonkeyAC,Alison Mosshart you're the best,x,,,,
ct_94,Julian Gomez,@arte: are you showing the Air concert on Saturday? :smirking_face:,,,,x,
ct_95,Валентина Пузанова,"Merci, Art:two_hearts:",x,,,,
ct_96,king-chang perspective,:face-purple-smiling-fangs:,x,,,,
ct_97,MonkeyAC,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,x,,,,
ct_98,MonkeyAC,love you The Kills still same energy and aura on stage,x,,,,
ct_102,MonkeyAC,:red_heart::red_heart::red_heart::red_heart:,x,,,,
ct_104,Julian Gomez,:rolling_on_the_floor_laughing:,x,,,,x
ct_105,élodie Jacques,yeahhhhhhh. thx si much :face_blowing_a_kiss::face_blowing_a_kiss:,x,,,,x
ct_108,Julian Gomez,:sign_of_the_horns::index_pointing_up:,x,,,,x
ct_110,Alejandria Rodriguez,Alison wooooooooooooooooooow:fire::fire::fire::fire::fire::fire::fire:,x,,,,
ct_111,sébastien *M* ,:musical_note::musical_note::winking_face_with_tongue:,x,,,,x
ct_114,king-chang perspective,🕺🏻💃🏻🕺🏻💃🏻🕺🏻💃🏻🕺🏻💃🏻,x,,,,x
ct_115,Валентина Пузанова,super:guitar::heart_exclamation::smiling_face_with_hearts:,x,,x,,
ct_116,Валентина Пузанова,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:,x,,,,
ct_119,MonkeyAC,Come on Alison tell them ,x,,,,
ct_122,élodie Jacques,:fire::fire::fire::fire:,x,,,,
ct_123,MonkeyAC,What a band <3,x,,,,
ct_124,Julian Gomez,Rocking that stage without any drummer ,x,,x,,
ct_126,MonkeyAC,:fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire::fire:,x,,,,
ct_129,Duarte Nuno Correia,They rock!,x,,,,
ct_131,king-chang perspective,:high_voltage::high_voltage::high_voltage::high_voltage::high_voltage:,x,,,,
ct_134,king-chang perspective,^_^,x,,,,
ct_136,Rose ,Omg I missed it ,x,x,,,
ct_138,Julian Gomez,:sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::sign_of_the_horns::clinking_beer_mugs:,x,,,,
ct_139,king-chang perspective,thx ARTE,x,,,,
