concert_id,message,feeling_pos,feeling_neg,music_ref,external_ref,phys_react_intentional,phys_react_unintentional
nf_ct_30,Bonsoir from Austria - enjyoing this very much,X,,,,,
air_ct_546,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
air_ct_42,:heart_suit:,X,,,,,
air_ct_372,Is Melissa on the list of tracks? ,,,x,,,
air_ct_539,👏🏻 👏🏻 👏🏻,X,,,,X,
air_ct_277,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_142,i love this guays,X,,,,,
air_ct_268,This is so cosmic. As if our planet is emitting this music into the galaxy. Incredible :red_heart:,X,,x,,,
air_ct_323,Si!!! vienen al Fauna primavera :red_heart::red_heart:,,,,,,
sting_ct_21,:thumbs_up::heart_suit:,X,,,,X,
air_ct_288,TOM OR MATTIE who reps 0161 MOST,,,x,,,
moby_ct_301,Why does my heart feels so bad - Moby,,,,,,
air_ct_368,:bomb:,X,,,,,
air_ct_308,it's coming...,,,,,,
nf_ct_146,:heart_exclamation:,X,,,,,
moby_ct_503,Perfection,X,,,,,
moby_ct_10,Thanks for the surprise. Very cool!!,X,,,,,
air_ct_127,excellent version of All I Need,X,,x,,,
moby_ct_557,@ARTE Concert Thanks for responding. Didn't know. Thanks for all you do,,,,,,
sting_ct_26,Arte Concert always on top!,,,,,,
moby_ct_451,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_293,:shooting_star::shooting_star::raising_hands::raising_hands::shooting_star::shooting_star:,X,,,,,
moby_ct_206,"I know he has ever been keen on remixing, 'upscaling' and so on. I'm not that convinced.",,,x,,,
moby_ct_99,:face-blue-smiling::hand-pink-waving::face-red-heart-shape::trophy-yellow-smiling::eyes-pink-heart-shape:,X,,,,X,
moby_ct_118,He always play the guitar ,,,x,X,,
moby_ct_229,how old is he now ?,,,,,,
moby_ct_501,:face-blue-smiling::face-blue-smiling::face-blue-smiling::smiling_face_with_hearts::dog::cat::fox:,X,,,,,
moby_ct_84,:face-red-heart-shape:,X,,,,,
air_ct_261,@ARTE Concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_312,so floaty lovely,X,,x,,,
moby_ct_314,Thanks for streaming this great concert!!,X,,,,,
air_ct_33,@tloves max Yeah because it's the first one on the LP,,,x,X,,
moby_ct_489,:eyes-pink-heart-shape:,X,,,,,
moby_ct_586,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_332,:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,X,,,,,X
moby_ct_528,@ARTE Concert Why can't be forever? Didn't know videos had a life span,X,,,,,
nf_ct_23,:),X,,,,,
nf_ct_12,i never thought i'd get to see the day when i could watch nils frahm live; this is *fantastic*,X,,,,,
nf_ct_96,I went to one of Nils shows... Great sound :grinning_face: ,,,,X,,
air_ct_205,The visuals,,,,,,
moby_ct_372,:musical_notes::location-yellow-teal-bars:thanks for all @ARTE Concert✓ always Delivering quality recorded productions from every genre ..YT:trophy-yellow-smiling::finger-red-number-one:👏🏼👏🏼,X,,,,X,
air_ct_458,@blue_scape thank you ,,,,,,
nf_ct_18,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
air_ct_309,great selection of other songs,X,,x,,,
air_ct_509,UNITED @ARTE Concert ,,,,,,
moby_ct_662,:eyes-purple-crying:,X,,,,,X
air_ct_461,:cherry_blossom:,,,x,X,,
moby_ct_16,he doesn't have tattoos anymore?,,,,,,
air_ct_459,:partying_face::pleading_face::winking_face_with_tongue:,X,,,,,
air_ct_252,some Richard Wrigth here,,,,X,,
moby_ct_386,"My cat is even watching, totally fascinated now",X,,,,,
moby_ct_533,ohhh yes :raising_hands::raising_hands::speaker_high_volume::speaker_high_volume::fire::fire::fire:,X,,,,X,
moby_ct_241,is it online?,,,,,,
moby_ct_581,:speaker_high_volume::face-red-heart-shape::face-blue-heart-eyes:some dunt thanks :winking_face:👍🏼,X,,,,X,
moby_ct_254,so beautiful,X,,,,,
moby_ct_37,I was there. What a night! :party_popper: Soooo good!!! :star_struck::musical_notes::collision::musical_notes::smiling_face_with_heart_eyes:,X,,,,,
air_ct_151,I REMEMBER ENJOYING LIFE before everyone had a Camara,,X,x,,,
moby_ct_421,hello @T :hugging_face::musical_notes:,X,,,,,
moby_ct_161,":hugging_face:👊🏼Tamás Borbély., good evening @ARTE :musical_notes: with the fun sounds of Moby :smiling_face:",X,,,,,
air_ct_429,:fire: :fire: :fire:,X,,,,,
air_ct_44,"""La Femme d'argent"" forgot how good starting track this was",X,,x,,,
air_ct_234,Ce Matin La @Steffi Whelan ,,,,,,
moby_ct_598,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_18,Great 🙌🏻🙌🏻energy :smiling_face_with_hearts:,X,,,,X,
moby_ct_186,We are all made of stars :star: :blue_heart:,X,,x,,,
air_ct_123,CAUSE IM MEAT FREE,,,x,,,
sting_ct_9,:raising_hands:,X,,,,X,
air_ct_434,are they playing to a backing track of strings synths?,,,x,,,
moby_ct_272,:smiling_face_with_heart_eyes::star_struck::smiling_face_with_heart_eyes:,X,,,,,
moby_ct_208, :raising_hands::sparkles::raising_hands::sparkles::raising_hands:,X,,,,X,
air_ct_345,:cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom::cherries::cherry_blossom:,X,,,,,
moby_ct_264,i would fall asleep if i was there,,X,,,,
sting_ct_59,:star_struck::thumbs_up::musical_notes:,X,,,,X,
nf_ct_28,:eyes-pink-heart-shape::eyes-pink-heart-shape::eyes-pink-heart-shape:,X,,,,,
air_ct_267,@popcorntommy VOD will keep here for you to listen further,,,,,,
air_ct_115,SO JAZZ WHITE PEOPLE WILL CALL THE COPS,,,x,,,
sting_ct_18,indonesia now 2 AM wacth thiss love it,X,,,,,
moby_ct_493,"Well yeah, that's so damn good",X,,,,,
moby_ct_256,:musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:,X,,,,,
air_ct_269,This is pure bliss,X,,,,,
moby_ct_625,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_623,:bomb::bomb::bomb::bomb::bomb:,X,,,,,
moby_ct_667,<3,X,,,,,
air_ct_337,super track,X,,x,,,
sting_ct_52,@Matthias Joss Thank you :hugging_face:,X,,,,,
air_ct_415,:eyes-pink-heart-shape:,X,,,,,
air_ct_116,the doors stuff,,,,,,
air_ct_214,:smiling_face_with_hearts:,X,,,,,
nf_ct_9,:hand-pink-waving:,,,,,X,
moby_ct_276,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: ,X,,,,X,
air_ct_188,Amazing! :black_heart::black_heart::black_heart:,X,,,,,
air_ct_136,:blue_circle::white_circle::red_circle:,,,,,,
air_ct_241,:face-orange-tv-shape:,,,,,,
nf_ct_145,brian eno's hair would be blown back,,,,X,,
air_ct_93,love this one too,X,,x,,,
moby_ct_168,no it shouldn't,,,,,,
nf_ct_134,"But Alessio... Everything starts with the mind. thoughts always comes first and then emotions are created. Same with intellect. Thought first, always :slightly_smiling_face: ",,,,,,
moby_ct_244,What is happening,,,,,,
moby_ct_169,"eternal loop, and its ok",,,x,,,
moby_ct_583,:face-red-heart-shape:..............,X,,,,,
moby_ct_470,"Thank you for tonight, Arte Concert",X,,,,,
moby_ct_233,Also there's Youtubes brilliant ignore functionality: I added sam the user ignore list of course,,,,,,
moby_ct_516,👏🏼👏🏼,X,,,,X,
moby_ct_68,Nadia :smiling_face_with_hearts::red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_43,Hello from Germany ,,,,,,
moby_ct_191,im ready for the next song,,,x,,,
moby_ct_497,:smiling_face:,X,,,,,
moby_ct_542,Nadia :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
nf_ct_188,I'm very sociable with people that are good vibes. :),,,,,,
nf_ct_108,That mixing console alone costs more than 100k,,,x,X,,
air_ct_257,:thumbs_up::thumbs_up::thumbs_up:,X,,,,X,
air_ct_348,is she my aNGEL,X,,x,,,
nf_ct_205,WIll keep coming back to this,X,,,,,
moby_ct_309,that cello sound,X,,x,,,
air_ct_216,Merci ARTE :heart_hands:,,,,,,
moby_ct_267,:raising_hands::red_heart::raising_hands::red_heart::raising_hands: ,X,,,,X,
air_ct_336,:two_hearts:,X,,,,,
moby_ct_391,that funk is so on point,X,,x,,,
air_ct_431,the drummer is perfect for them,X,,x,,,
air_ct_385,those Solina strings:heart_with_ribbon:,X,,,,,
moby_ct_359,Love this part,X,,x,,,
moby_ct_178,:face_with_tongue::winking_face_with_tongue::zany_face::squinting_face_with_tongue:,,,,,,
moby_ct_324,:red_heart:,X,,,,,
air_ct_227,I was a AIR fan since the beginning and now my daughter love AIR too.,X,,,X,,
nf_ct_38,Is this Berduxa 2024 revision?,,,x,X,,
nf_ct_106,they are not stopid ,,,,,,
moby_ct_395,this must be on vinyl!,X,,x,,,
sting_ct_86,"leans back in Armchair, and enjoyes ;)",X,,,,X,
sting_ct_29,Danke an ARTE Concert!,,,,,,
air_ct_121,:red_heart::red_heart::red_heart::red_heart::red_heart:,X,,,,,
moby_ct_380,"@HNRIK Same, I never searshed him on Spotify but jeez I know almost every song, what a legend!",,,,,,
air_ct_155,@Frank Zappa how? It's live! go back to the concert!!,,,,,,
air_ct_95,!!!!!!!!!!,X,,,,,
moby_ct_181,This version is amazing ,X,,x,,,
air_ct_330,:purple_heart::purple_heart::purple_heart:,X,,,,,
moby_ct_36,:hand-pink-waving::person-turqouise-waving:,,,,,X,
moby_ct_219,"This show, bring back so much good memories",X,,,X,,
moby_ct_111,:red_heart: ,X,,,,,
moby_ct_243,they always get the pretty violonists,,,,,,
moby_ct_330,:smiling_face_with_hearts::smiling_face_with_heart_eyes::smiling_face_with_hearts:,X,,,,,
moby_ct_591,It was amazing thank you ,X,,,,,
air_ct_114,"What a legendary album ! So happy to hear it again, and again, and again.... and now, too !",X,,x,X,,
air_ct_25,glad to see this here as missed out seeing them in person,X,,,,,
moby_ct_300,my cat thinks he has the right to chew laptop cables,,,,,,
air_ct_58,:fire:,X,,,,,
moby_ct_575,CHILE :heart_on_fire:,,,,X,,
nf_ct_112,"@AlessioAndres you can choose to have your own personal definition of music, but you can't impose it on everyone else and exclude whole genres",,,x,,,
air_ct_467,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_120,has he played when its cold outside I want to die yet,,,x,,,
moby_ct_562,:firecracker::firecracker::firecracker::firecracker:,X,,,,,
air_ct_388,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
nf_ct_191,Love this so much. What a great concert. Thanx for this!,X,,,,,
moby_ct_13,A trip down memory lane for most of the ppl there I suppose,,,,X,,
moby_ct_46,"I guess I am kinda traditional, I love ""Praise You"" best ",X,,x,,,
air_ct_46,Live al Viva festival Locorotondo Bari :red_heart::red_heart::red_heart:,,,,,,
sting_ct_80,The Dock Of The Bay...:bouquet::bouquet::bouquet: ,X,,x,,,
moby_ct_313,"This is great, reminds me of Mogwai , some post-rock vibes",X,,x,X,,
air_ct_378,:fireworks: :fireworks: :fireworks:,X,,,,,
air_ct_222,@Headsknow That's a great name!,,,,,,
moby_ct_414,"el polaco... yes 👍🏼 well spotted Sherlock 🕵🏼., did you notice that I'm not the Channel host .. and that they've posted a reply to that query!",,,,,,
air_ct_421,🙌🏻,X,,,,X,
air_ct_443,:yougotthis:,,,,,,
air_ct_433,:light_bulb::light_bulb::light_bulb:,,,,,,
nf_ct_104,"music is everything that is not sound where sound is present. i am listening to music like a person without hearing and no concept of emotion would. there's stories, someone enters, approaches by -",,,x,,,
air_ct_191,DONT FORGET ABOUT YOUR HEART TONIGHT,,,,,,
air_ct_111,very mellow track :),X,,x,,,
moby_ct_283,:raising_hands::sparkles::raising_hands::sparkles::raising_hands:,X,,,,X,
air_ct_408,:fire:,X,,,,,
sting_ct_48,Rushing water! Sting rocks!,X,,,,,
air_ct_281,Radian is the next song (says the setlist) @Headsknow ,,,x,,,
moby_ct_552,:bomb::bomb::bomb::bomb::collision::collision::collision:,X,,,,,
sting_ct_31,Send an SOS to the world to fire Macron...,,,x,X,,
air_ct_264,Amazing :smiling_face_with_heart_eyes:,X,,,,,
moby_ct_351,ooohh :violin::musical_note::musical_notes::musical_score::speaker_high_volume::dizzy:,X,,x,,,X
moby_ct_346,My temperature rises from the music :smiling_cat_with_heart_eyes:,X,,x,,,X
moby_ct_394,the first song I played in the guitar was Moby's song :red_heart: thanks from Brasil,X,,x,,,
moby_ct_508,👏🏻👏🏻👏🏻👏🏻,X,,,,X,
nf_ct_89,A pretentious tool in the comment section of a Nils Frahm video. I'm shocked,,,,,,
air_ct_195,Just opened and this awesome concert appeard! Thank you algorithm and ARTE concert! :red_heart::red_heart:,X,,,,,
moby_ct_141,:beaming_face_with_smiling_eyes:,X,,,,,
sting_ct_72,Really beautiful place! The Bridge!! :blue_heart::blue_heart::blue_heart::blue_heart:,X,,,,,
moby_ct_426,niceee :red_heart:,X,,,,,
air_ct_112,such great energy and hope this album expresses on each track - masterpiece album,X,,x,X,,
sting_ct_25,"Sting music and the place, :bouquet::bouquet:Pantheon .. beautifully cool! Magically fantastic! :blue_heart::blue_heart::blue_heart:",X,,x,,,
nf_ct_173,"Sublime music, heavenly!",X,,x,,,
nf_ct_110,"@Apoptose Records I saw him in Uppsala, sweden... Great show :red_heart: ",,,,X,,
sting_ct_75,:clapping_hands:,X,,,,,
air_ct_406,@blue_scape Who knows...? :winking_face_with_tongue: ,,,,,,
moby_ct_122,fantastic reworking :musical_notes:👏🏼,X,,x,,X,
nf_ct_197,merci a tout,,,,,,
air_ct_296,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,X,,,,X,
air_ct_163,in five seconds ur gong to press record ,,,,,,
moby_ct_551,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
moby_ct_645,hard before other,,,,,,
air_ct_507,will this stay on YouTube ? @ARTE Concert ,,,,,,
moby_ct_41,ROCK THE BODIES,,,,,,
moby_ct_81,"@ARTE Concert Choklate, Nadia Christine Duggin, Julie Mintz, Lady Blackbird are THE BEST Vovalists on this fcking Planet!",X,,,,,
moby_ct_325,<3,X,,,,,
nf_ct_87,WOOWWWWW SO happy that I randomly catched this livestreammmm amazing ,X,,,,,
nf_ct_126,Spells :smiling_face_with_heart_eyes:,,,,,,
moby_ct_453,@Lyli J we don't know but it closed for god in fall 2022,,,,,,
moby_ct_225,soy division is nice ^^,X,,,,,
nf_ct_41,feeling more and more relaxed after a hard day,X,,,,,
moby_ct_199,A wee bit of Pink Floyd too,,,x,X,,
sting_ct_66,so niiiice :red_heart:,X,,,,,
air_ct_107,best of the best,X,,,,,
moby_ct_642,@Arte Concert THX!!!!!,,,,,,
nf_ct_204,👏🏼🙏🏼 thanks again ARTE Concert✓for a most magnificent concert 👏🏼👏🏼,X,,,,X,
air_ct_430,who are playing the background synths?,X,,x,,,
nf_ct_200,thx arte,,,,,,
air_ct_463,such a beautiful track Kyoto,X,,x,,,
air_ct_174,:clapping_hands:,X,,,,X,
air_ct_169,"I know this album by heart. My dad used to listen to it so often, I have really precious memories of my childhood and family with this as a soundtrack :red_heart:",X,,x,X,,
moby_ct_545,:bomb::bomb::bomb::bomb::bomb::bomb:,X,,,,,
moby_ct_483,i'd love him to play dream about me :') ,,,x,,,
moby_ct_150,you happy now :smiling_face::musical_notes:,X,,,,,
air_ct_238,Thanks!! ,,,,,,
moby_ct_203,yoooo @Luca M. @Cosmic Seeds:face-purple-wide-eyes::hand-pink-waving:,X,,,,,
air_ct_485,👏🏻👏🏻,X,,,,X,
nf_ct_162,"the more you know, the more you know nothing",,,,,,
moby_ct_210,@T :waving_hand::slightly_smiling_face:hey,X,,,,,
moby_ct_462,moby the legend,X,,,,,
moby_ct_43,Evening Arte Concert!,,,,,,
moby_ct_658,:clapping_hands::clapping_hands::clapping_hands:,X,,,,,
air_ct_471,Thanks for bringing us such content Arte,,,,,,
air_ct_206,:purple_heart::purple_heart::purple_heart::blue_heart::purple_heart::purple_heart::purple_heart:,X,,,,,
air_ct_141, THE ORIGINAL BATMAN ,,,x,,,
air_ct_547,:grinning_cat_with_smiling_eyes:,X,,,,,
sting_ct_55,Incroyble Sting !,X,,,,,
moby_ct_216,:speaker_high_volume::speaker_high_volume::speaker_high_volume:,X,,,,,
moby_ct_294,Name this song? ,,,x,,,
moby_ct_486,have chills,X,,,,,X
air_ct_37,the San Francisco fan video of this song is immaculate,,,x,X,,
moby_ct_446,:(,,X,,,,
air_ct_27,"ducking brilliant, that bass!!",X,,x,,,
moby_ct_86,@Dmytro Rybak :raised_fist::raised_fist::raised_fist::yellow_circle::blue_circle:,,,,,,
moby_ct_235,I love how he just sounds like somebody's nerdy dad here.,X,,,,,
air_ct_520,oh no visitours thought viewers lol,,,,,,
sting_ct_33,evidemment SOS to the nature,,,x,X,,
air_ct_422,:hand-orange-covering-eyes:,,,,,X,
moby_ct_393,@ARTE Concert thank you. :face-red-heart-shape:,X,,,,,
air_ct_511,Riding on magnetic waves,X,,,,,
air_ct_225,:winking_face:Morricon,,,,,,
air_ct_219,but when i wake up. black friday let me PAY ,X,,x,,,
air_ct_38,I truly needed this ,X,,,,,
air_ct_483,A thousand thanks ARTE!:star_struck::thumbs_up::smiling_cat_with_heart_eyes:,X,,,,X,
moby_ct_584,👏🏻👏🏻🙌🏻🙌🏻,X,,,,X,
air_ct_379,:elbowcough:,,,,,X,
sting_ct_70,Sexy cool and beautiful :blue_heart::bouquet:,X,,,,,
moby_ct_539,:fire::fire::fire::fire::fire:,X,,,,,
moby_ct_152,:transgender_symbol::rainbow_flag::purple_square::blue_square::green_square::yellow_square::orange_square::red_square::seedling:,,,,,,
moby_ct_59,the Best day of my year,X,,,,,
moby_ct_522,👏🏼👏🏼:red_heart:,X,,,,X,
air_ct_327,fully heart language this album communicates,X,,x,,,
nf_ct_147,"He wouldn't say anything, he would ejaculate in his pants",,,,,,
air_ct_349,cherrie and cheers all,X,,,,,
air_ct_401,chill & nice perfect to fk,X,,,,,
moby_ct_496,:thumbs_up::thumbs_up::thumbs_up::thumbs_up::red_heart::musical_notes::red_heart::musical_notes::red_heart:,X,,,,X,
air_ct_334,!!!,,,,,,
moby_ct_369,:collision::raising_hands::collision::raising_hands: :raising_hands::sparkles::raising_hands::sparkles:,X,,,,X,
moby_ct_401,Moby's DJ sets are some of the best you will ever see if you get the chance. He absolutely rips really driving electro and techno,X,,x,X,,
air_ct_451,:sparkling_heart:,X,,,,,
moby_ct_75,so lovely I will cry,X,,,,X,
air_ct_140,Goods albums,X,,x,X,,
moby_ct_665,:raising_hands::red_heart:,X,,,,X,
nf_ct_135,Just to imagine Alessio's mom carrying him around in her womb for 9 months just for him to end up in this comment section today to spew all this nonsense,,,,,,
nf_ct_121,"Nils Frahm was at in Berlin at the superbooth a month ago and screened parts of this video, but with access to the stems so he was able to isolate individual tracks",,,x,X,,
moby_ct_261,Alright. Let them tears flow,X,,,,,X
air_ct_531,whistle it,,,,,,
nf_ct_116,@ARTE Concert Thank you for this wonderful present! :red_heart::red_heart::red_heart:,X,,,,,
moby_ct_588,:hand-pink-waving:bye bye,,,,,X,
air_ct_395,Alone in Kyoto ,,,x,,,
air_ct_126,Another era,,,,,,
moby_ct_271,chills and thrills,X,,,,,X
air_ct_158,:bow_and_arrow::balloon:,,,,,,
moby_ct_280,:water_wave::water_wave::musical_notes::musical_note::sparkles::sparkles::shooting_star::shooting_star:,X,,,,,
moby_ct_60,greetings from Ccs-Vzla,,,,,,
moby_ct_215,@T :raising_hands::collision::raising_hands::collision::raising_hands:,X,,,,X,
air_ct_39,definitely goosebumps from the start,X,,,,,X
air_ct_251,I was in the RAH that night..totally spellbound by it :),X,,,X,,
air_ct_49,all :smiling_face_with_heart_eyes:love!!!! from MX !!!!!,X,,,,,
moby_ct_201,"Hope you've got your towel handy .,. Ford",,,,,,
moby_ct_329,That one,,,,,,
moby_ct_526,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
nf_ct_78,aleesio how about you try layering sounds and they all happen to be in that kind of aether harmony.Your comments just shows how little you know about music as a technical matter and as a soul food 2,,,x,,,
sting_ct_84,:heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration::heart_decoration:,X,,,,,
moby_ct_432,",____:locomotive::railway_car::railway_car::railway_car::railway_car:,___ :peach::dashing_away:ring of fire",X,,,,,
moby_ct_549,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face_savoring_food::zany_face:,X,,,,,
air_ct_413,never ever thought it could be play live,,,x,,,
moby_ct_521,will this concert remain on arte concert channel ? ,,,,,,
moby_ct_103,Same price as everywhere just arriving early haha,,,,,,
moby_ct_259,:hand-orange-covering-eyes:,,,,,,
nf_ct_120,this piece will have a drum line,,,x,,,
air_ct_270,this one OOOOF,X,,,,,
nf_ct_85,really alessio we thought you were here to talk shit about how this isn't music,,,x,,,
nf_ct_45,thanks! for how long will it be available?,,,,,,
air_ct_50,Awesome! How do we download it? ,X,,,,,
moby_ct_19,This sounds absolutely terrible and empty,,X,x,,,
air_ct_425,:heart_with_arrow:,X,,,,,
moby_ct_184,not sure either,,,,,,
nf_ct_52,love this reflection of sounds!,X,,x,,,
moby_ct_279,Great vocalists great musicians - Moby is gracefully,X,,x,,,
air_ct_340,cherry,,,x,X,,
moby_ct_441,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-blue-smiling::face-blue-smiling::face-blue-smiling:,X,,,,,
air_ct_60,carlo showalter :red_heart:,X,,,,,
air_ct_47,...and then it leads to their biggest hit,,,x,X,,
moby_ct_415,:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-blue-smiling:,X,,,,,
moby_ct_651,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_269,some much soul,X,,,,,
air_ct_26,see you in LA at the end of the month :dizzy: ,,,,X,,
air_ct_450,fresh AIR as in back 1998 crazy1,X,,,X,,
nf_ct_21,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:,X,,,,,
air_ct_143,Very cool,X,,,,,
moby_ct_611,:yellow_heart:,X,,,,,
moby_ct_51,12 points from Germany tonight,,,,,,
air_ct_202,:smiling_face_with_hearts::face_holding_back_tears::moon_viewing_ceremony::monkey:,X,,,,,
moby_ct_566,"this is just awesome, this is art e",X,,,,,
moby_ct_676,YOOO @ARTE Concert thx,,,,,,
moby_ct_139,I didn't recognize it without the strings sample,,,x,,,
nf_ct_163,but.... Alessio rambling on and on and Im just....writing to him? ,,,,,,
nf_ct_55,Seen him 18 times live and it still enjoy it everytime i experience it :heart_suit:,,,,X,,
moby_ct_550,SUBLIME:beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:,X,,,,,
nf_ct_44,@ARTE Concert will this set be uploaded afterwards?? <3,,,,,,
moby_ct_286,i like moby but who is this cheap coverband :D,,,,,,
moby_ct_565,:heart_on_fire::heart_on_fire::heart_on_fire::heart_on_fire:,X,,,,,
moby_ct_487,i do :red_heart:,X,,,,,
air_ct_367,The next song is Highschool Lover,,,x,,,
moby_ct_519,Standing ovations 👏🏻👏🏻👏🏻,X,,,,X,
moby_ct_505,:glowing_star::man_dancing::glowing_star::man_dancing::glowing_star:,X,,,,X,
nf_ct_57,Wow@blue_scape:smiling_face_with_heart_eyes:,X,,,,,
air_ct_310,great its on,X,,,,,
air_ct_190,Well this takes me back,,,x,X,,
air_ct_381,From the setlist: Highschool Lover - Surfing on a Rocket - Don't Be Light - Alone in Kyoto @Headsknow ,,,x,,,
nf_ct_88,ignore him and enjoy the music,,,,,,
moby_ct_129,"wtf ., ""woke"" :pleading_face::face_exhaling:",,,,,,
moby_ct_205,Moby's first albums (up until Hotels) were so freaking good,,,x,X,,
nf_ct_117,@sato2097 read somewhere he owns 20+ of them total,,,,,,
moby_ct_594,:smiling_face_with_hearts:,X,,,,,
air_ct_61,Sexy Boy!,X,,x,,,
air_ct_253,:face-fuchsia-wide-eyes:,,,,,,
moby_ct_573,I am feeling SOOOOO real!,X,,,,,
moby_ct_514,:musical_note::musical_notes::sparkles::sparkles:,X,,,,,
air_ct_362,THIS MUSIC IS LIKE A COCAINE HEAD AS BIG AS DANA WHITES HEAD,X,,x,,,
moby_ct_525,:clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:,X,,,,X,
sting_ct_43,"STING, I consider your songs the best in the world",X,,x,,,
moby_ct_368,:clapping_hands::sign_of_the_horns::raising_hands:,X,,,,X,
moby_ct_88,Argentina :red_heart:,X,,,,,
moby_ct_556,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,X,,,,,
moby_ct_202,:speaker_high_volume::musical_note::musical_notes::sparkles::sparkles::dashing_away:,X,,,,,
air_ct_189,I love you AIR :black_heart::black_heart::black_heart:,X,,,,,
air_ct_536,:fish-orange-wide-eyes::fish-orange-wide-eyes::fish-orange-wide-eyes::fish-orange-wide-eyes:,,,,,,
moby_ct_379,:blue_heart::red_heart::orange_heart::yellow_heart::green_heart:,X,,,,,
moby_ct_648,:bomb::bomb::bomb::bomb:,X,,,,,
air_ct_438,So good. Wave on. ,X,,,,,
air_ct_453,:face_blowing_a_kiss::smiling_face_with_heart_eyes::face_blowing_a_kiss::partying_face::disguised_face::smiling_face_with_hearts::nerd_face::smiling_face_with_hearts::smiling_face_with_sunglasses::smiling_face_with_heart_eyes:,X,,,,X,
air_ct_475,:eyes-pink-heart-shape:,X,,,,,
moby_ct_126,this woke version actually sounds good,X,,x,,,
air_ct_66,:red_heart:,X,,,,,
moby_ct_411,@sunshine 70 hallo :waving_hand::slightly_smiling_face:,X,,,,X,
air_ct_492,MERCI AIR MERCI ARTE MERCI YOUTUBE:purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,X,,,,,
moby_ct_226,:partying_face::partying_face::partying_face::partying_face:,X,,,,,
moby_ct_222,:musical_notes::musical_note::speaker_high_volume::clapping_hands::open_hands:,X,,,,X,
nf_ct_75,build up and harmonics are part of music too and this Nils guy is very goot at that,,,x,X,,
moby_ct_569,A 1991 song is now just like a 1958 song in 1991.,,,,,,
moby_ct_656,"If someone wants to listen to other music of this Speed, Google ""The Berzerker""",,,x,X,,
nf_ct_29,"greetings from Sofia, Bulgaria",,,,,,
sting_ct_42,Hope the world will listen about this SOS ... ,X,,x,,,
air_ct_75,Around the world,,,,,,
moby_ct_402,:red_heart::red_heart::red_heart::red_heart:,X,,,,,
air_ct_286,I'm traveling far far away right now...:shooting_star:,X,,,,,
air_ct_129,styx COM MR ROBOTO,,,,,,
air_ct_40,Space...the final frontier,,,,,,
moby_ct_242,RIP Lou Reed and RIP David Bowie!,,,,X,,
air_ct_231,:anatomical_heart::anatomical_heart::anatomical_heart:,X,,,,,
moby_ct_457,definitely hints of Ian Curtis and Joy Division in this one :musical_notes::goodvibes:,X,,x,X,,
nf_ct_72,he is using a couple of line array and gigant subwoofers as monitors wow thats too much,,X,x,,,
moby_ct_535,:fire::fire::fire::fire::fire:,X,,,,,
